,,,"Burnaby, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Household and dwelling characteristics","  Other attached dwelling",6,   50180,,,...,,...,  824190,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    2685,,,...,,...,   57395,,,...,,...
"Household and dwelling characteristics","    Row house",,    8470,,,...,,...,  147830,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,   15815,,,...,,...,  230075,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   22960,,,...,,...,  385140,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     245,,,...,,...,    3755,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,       5,,,...,,...,   49290,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   92205,,,...,,..., 1881970,,,...,,...
"Household and dwelling characteristics","  1 person",,   25760,,,...,,...,  541910,,,...,,...
"Household and dwelling characteristics","  2 persons",,   29250,,,...,,...,  663770,,,...,,...
"Household and dwelling characteristics","  3 persons",,   16340,,,...,,...,  277690,,,...,,...
"Household and dwelling characteristics","  4 persons",,   12945,,,...,,...,  243125,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    7900,,,...,,...,  155470,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  230080,,,...,,..., 4560240,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.5,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  201670,,   97695,,  103975,, 3956665,, 1922840,, 2033825,
"Marital status","  Married or living common law",,  111890,,   55620,,   56275,, 2297325,, 1146175,, 1151150,
"Marital status","    Married",,   98730,,   48990,,   49735,, 1925345,,  959690,,  965645,
"Marital status","    Living common law",,   13165,,    6635,,    6535,,  371985,,  186485,,  185505,
"Marital status","  Not married and not living common law",,   89780,,   42075,,   47705,, 1659335,,  776660,,  882675,
"Marital status","    Never married",,   63890,,   34250,,   29635,, 1076085,,  582975,,  493110,
