"Census Profile, 2021 Census of Population"
,,,"Surrey, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data",,449675,"",221645,"",228030,"",   96.0,"",   96.0,"",   95.9,"",
"Income of individuals in 2020","    Average after-tax income in 2020 among recipients ($)",, 41320,"", 46560,"", 36240,"", 41320,"", 46560,"", 36240,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data",,392375,"",198720,"",193660,"",   83.7,"",   86.1,"",   81.5,"",
"Income of individuals in 2020","    Average market income in 2020 among recipients ($)",, 44880,"", 53400,"", 36160,"", 44880,"", 53400,"", 36160,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data",,331285,"",171830,"",159455,"",   70.7,"",   74.4,"",   67.1,"",
"Income of individuals in 2020","    Average employment income in 2020 among recipients ($)",, 45040,"", 52650,"", 36840,"", 45040,"", 52650,"", 36840,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data",,382035,"",178250,"",203785,"",   81.5,"",   77.2,"",   85.7,"",
"Income of individuals in 2020","    Average government transfers in 2020 among recipients ($)",, 10580,"",  9580,"", 11450,"", 10580,"",  9580,"", 11450,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 43010,"", 17685,"", 25330,"",    9.2,"",    7.7,"",   10.7,"",
"Income of individuals in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6550,"",  5610,"",  7210,"",  6550,"",  5610,"",  7210,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,143415,"", 69610,"", 73800,"",   30.6,"",   30.2,"",   31.0,"",
"Income of individuals in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9040,"",  8860,"",  9200,"",  9040,"",  8860,"",  9200,"",
"Income of individuals in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",12,468615,"",230875,"",237740,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",13,146840,"", 85535,"", 61305,"",   31.3,"",   37.0,"",   25.8,"",
"Income of individuals in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14, 59200,"", 64500,"", 53200,"", 59200,"", 64500,"", 53200,"",
"Income of individuals in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",15, 68900,"", 75700,"", 59450,"", 68900,"", 75700,"", 59450,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",16,135355,"", 62690,"", 72660,"",   28.9,"",   27.2,"",   30.6,"",
"Income of individuals in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 18800,"", 21400,"", 17000,"", 18800,"", 21400,"", 17000,"",
"Income of individuals in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 27760,"", 32080,"", 24060,"", 27760,"", 32080,"", 24060,"",
