,,,"Langley, District municipality [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Marital status","    Never married",,   22595,,   12120,,   10480,, 1076085,,  582975,,  493110,
"Marital status","    Separated",,    2305,,     915,,    1390,,  105700,,   45225,,   60475,
"Marital status","    Divorced",,    5435,,    2045,,    3390,,  263870,,  103475,,  160395,
"Marital status","    Widowed",,    4690,,     970,,    3715,,  213685,,   44990,,  168700,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   34150,,,...,,..., 1311340,,,...,,...
"Family characteristics","  2 persons",,   16225,,,...,,...,  703685,,,...,,...
"Family characteristics","  3 persons",,    7195,,,...,,...,  275965,,,...,,...
"Family characteristics","  4 persons",,    7615,,,...,,...,  243960,,,...,,...
"Family characteristics","  5 or more persons",,    3115,,,...,,...,   87730,,,...,,...
"Family characteristics","Average size of census families",,    3.0,,,...,,...,    2.8,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   34150,,,...,,..., 1311345,,,...,,...
"Family characteristics","  Total couple families",,   29710,,,...,,..., 1113405,,,...,,...
"Family characteristics","    Married couples",,   25795,,,...,,...,  927440,,,...,,...
"Family characteristics","    Common-law couples",,    3920,,,...,,...,  185960,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    4440,,,...,,...,  197940,,,...,,...
"Family characteristics","    Female parent",,    3430,,,...,,...,  155670,,,...,,...
"Family characteristics","    Male parent",,    1010,,,...,,...,   42265,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   29710,,,...,,..., 1113400,,,...,,...
"Family characteristics","  Couples without children",,   13590,,,...,,...,  577790,,,...,,...
"Family characteristics","  Couples with children",,   16125,,,...,,...,  535610,,,...,,...
"Family characteristics","    1 child",,    5810,,,...,,...,  221065,,,...,,...
"Family characteristics","    2 children",,    7290,,,...,,...,  230705,,,...,,...
"Family characteristics","    3 or more children",,    3025,,,...,,...,   83840,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    4440,,,...,,...,  197940,,,...,,...
"Family characteristics","  1 child",,    2645,,,...,,...,  125890,,,...,,...
"Family characteristics","  2 children",,    1385,,,...,,...,   54900,,,...,,...
"Family characteristics","  3 or more children",,     410,,,...,,...,   17145,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   14745,,    6580,,    8165,,  882895,,  418495,,  464405,
"Household type","Total - Private households by household type - 100% data",12,   41980,,,...,,..., 1881970,,,...,,...
"Household type","  One-census-family households",,   30770,,,...,,..., 1195735,,,...,,...
"Household type","    Without children in a census family",13,   12020,,,...,,...,  527700,,,...,,...
"Household type","    With children in a census family",14,   18755,,,...,,...,  668035,,,...,,...
"Household type","  Multiple-census-family households",,    1640,,,...,,...,   55620,,,...,,...
"Household type","  Non-census-family households",,    9570,,,...,,...,  630620,,,...,,...
"Household type","    One-person households",,    8450,,,...,,...,  541915,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    1120,,,...,,...,   88705,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  116315,,   56865,,   59450,, 4598415,, 2255395,, 2343015,
"Knowledge of official languages","  English only",,  108570,,   53575,,   54990,, 4127770,, 2050130,, 2077645,
"Knowledge of official languages","  French only",,      30,,      10,,      20,,    1810,,     820,,     985,
"Knowledge of official languages","  English and French",,    6090,,    2590,,    3500,,  314925,,  140650,,  174275,
"Knowledge of official languages","  Neither English nor French",,    1625,,     685,,     940,,  153910,,   63795,,   90115,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  116310,,   56865,,   59450,, 4598415,, 2255395,, 2343020,
"First official language spoken","  English",,  113490,,   55615,,   57875,, 4373330,, 2156680,, 2216655,
"First official language spoken","  French",,     910,,     445,,     475,,   55325,,   27680,,   27640,
"First official language spoken","  English and French",,     305,,     130,,     175,,   18000,,    8315,,    9685,
"First official language spoken","  Neither English nor French",,    1600,,     675,,     925,,  151760,,   62720,,   89040,
