"Census Profile, 2021 Census of Population"
,,,"Burnaby, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Household and dwelling characteristics","  4 persons",, 13325,"",,"...",,"...",   13.2,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  8040,"",,"...",,"...",    7.9,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,245725,"",121040,"",124680,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.4,"",,"...",,"...",    2.4,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,216825,"",105830,"",110995,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",,120820,"", 60220,"", 60600,"",   55.7,"",   56.9,"",   54.6,"",
"Marital status","    Married",,105275,"", 52365,"", 52910,"",   48.6,"",   49.5,"",   47.7,"",
"Marital status","    Living common-law",, 15545,"",  7860,"",  7685,"",    7.2,"",    7.4,"",    6.9,"",
"Marital status","      Living common law - Never married",, 12675,"",  6415,"",  6260,"",    5.8,"",    6.1,"",    5.6,"",
"Marital status","      Living common law - Separated",,   435,"",   225,"",   205,"",    0.2,"",    0.2,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  2260,"",  1135,"",  1120,"",    1.0,"",    1.1,"",    1.0,"",
"Marital status","      Living common law - Widowed",,   175,"",    80,"",   100,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 96000,"", 45605,"", 50395,"",   44.3,"",   43.1,"",   45.4,"",
"Marital status","    Not married and not living common law - Never married",, 68445,"", 37000,"", 31450,"",   31.6,"",   35.0,"",   28.3,"",
"Marital status","    Not married and not living common law - Separated",,  4980,"",  2020,"",  2960,"",    2.3,"",    1.9,"",    2.7,"",
"Marital status","    Not married and not living common law - Divorced",, 12455,"",  4610,"",  7850,"",    5.7,"",    4.4,"",    7.1,"",
"Marital status","    Not married and not living common law - Widowed",, 10120,"",  1975,"",  8150,"",    4.7,"",    1.9,"",    7.3,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 68355,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 34720,"",,"...",,"...",   50.8,"",,"...",,"...",
"Family characteristics","  3 persons",, 16775,"",,"...",,"...",   24.5,"",,"...",,"...",
"Family characteristics","  4 persons",, 13275,"",,"...",,"...",   19.4,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  3585,"",,"...",,"...",    5.2,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.8,"",,"...",,"...",    2.8,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.6,"",,"...",,"...",    1.6,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 68355,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 57610,"",,"...",,"...",   84.3,"",,"...",,"...",
"Family characteristics","    Married couples",, 49835,"",,"...",,"...",   72.9,"",,"...",,"...",
"Family characteristics","      With children",6, 28305,"",,"...",,"...",   41.4,"",,"...",,"...",
"Family characteristics","      Without children",, 21530,"",,"...",,"...",   31.5,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  7775,"",,"...",,"...",   11.4,"",,"...",,"...",
"Family characteristics","      With children",6,  1795,"",,"...",,"...",    2.6,"",,"...",,"...",
"Family characteristics","      Without children",,  5980,"",,"...",,"...",    8.7,"",,"...",,"...",
"Family characteristics","  Total one-parent families",, 10745,"",,"...",,"...",   15.7,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  8745,"",,"...",,"...",   12.8,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  2005,"",,"...",,"...",    2.9,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,245725,"",121045,"",124680,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",,191605,"", 94355,"", 97250,"",   78.0,"",   78.0,"",   78.0,"",
"Family characteristics","    Married spouses or common-law partners",,115215,"", 57660,"", 57550,"",   46.9,"",   47.6,"",   46.2,"",
"Family characteristics","    Parents in one-parent families",, 10750,"",  2000,"",  8745,"",    4.4,"",    1.7,"",    7.0,"",
"Family characteristics","    Children",6, 65645,"", 34690,"", 30955,"",   26.7,"",   28.7,"",   24.8,"",
"Family characteristics","      In a two-parent family",, 50505,"", 26535,"", 23975,"",   20.6,"",   21.9,"",   19.2,"",
"Family characteristics","      In a one-parent family",, 15140,"",  8160,"",  6985,"",    6.2,"",    6.7,"",    5.6,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 54115,"", 26685,"", 27430,"",   22.0,"",   22.0,"",   22.0,"",
"Family characteristics","    Living alone",, 29575,"", 14055,"", 15525,"",   12.0,"",   11.6,"",   12.5,"",
"Family characteristics","    Living with other relatives",7,  8245,"",  3210,"",  5030,"",    3.4,"",    2.7,"",    4.0,"",
"Family characteristics","    Living with non-relatives only",, 16305,"",  9425,"",  6880,"",    6.6,"",    7.8,"",    5.5,"",
"Household type","Total - Household type - 100% data",,101135,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 55410,"",,"...",,"...",   54.8,"",,"...",,"...",
"Household type","    Couple-family households",, 47280,"",,"...",,"...",   46.7,"",,"...",,"...",
"Household type","      With children",6, 24750,"",,"...",,"...",   24.5,"",,"...",,"...",
"Household type","      Without children",, 22530,"",,"...",,"...",   22.3,"",,"...",,"...",
"Household type","    One-parent-family households",,  8135,"",,"...",,"...",    8.0,"",,"...",,"...",
"Household type","  Multigenerational households",8,  4090,"",,"...",,"...",    4.0,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,  1135,"",,"...",,"...",    1.1,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  4110,"",,"...",,"...",    4.1,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  6815,"",,"...",,"...",    6.7,"",,"...",,"...",
"Household type","  One-person households",, 29575,"",,"...",,"...",   29.2,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,213475,"",104380,"",109095,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,206675,"",101160,"",105510,"",   96.8,"",   96.9,"",   96.7,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 38400,"", 43200,"", 34400,"", 38400,"", 43200,"", 34400,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,206730,"",101200,"",105530,"",   96.8,"",   97.0,"",   96.7,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 35200,"", 39200,"", 32400,"", 35200,"", 39200,"", 32400,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,183615,"", 91065,"", 92560,"",   86.0,"",   87.2,"",   84.8,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 34000,"", 41200,"", 28000,"", 34000,"", 41200,"", 28000,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",,146750,"", 75115,"", 71640,"",   68.7,"",   72.0,"",   65.7,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 39200,"", 45600,"", 33200,"", 39200,"", 45600,"", 33200,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",,172810,"", 80150,"", 92660,"",   81.0,"",   76.8,"",   84.9,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8000,"",  7000,"",  8800,"",  8000,"",  7000,"",  8800,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 17890,"",  7935,"",  9955,"",    8.4,"",    7.6,"",    9.1,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5520,"",  5480,"",  5640,"",  5520,"",  5480,"",  5640,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 60185,"", 29540,"", 30645,"",   28.2,"",   28.3,"",   28.1,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9500,"",  9000,"", 10000,"",  9500,"",  9000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,213475,"",104550,"",108925,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,206385,"",101105,"",105275,"",   96.7,"",   96.7,"",   96.6,"",
"Income of individuals in 2020","    Average total income in 2020 among recipients ($)",, 51500,"", 59200,"", 44080,"", 51500,"", 59200,"", 44080,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data",,206450,"",101140,"",105310,"",   96.7,"",   96.7,"",   96.7,"",
"Income of individuals in 2020","    Average after-tax income in 2020 among recipients ($)",, 43440,"", 48800,"", 38280,"", 43440,"", 48800,"", 38280,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data",,183375,"", 91095,"", 92275,"",   85.9,"",   87.1,"",   84.7,"",
"Income of individuals in 2020","    Average market income in 2020 among recipients ($)",, 48520,"", 57450,"", 39680,"", 48520,"", 57450,"", 39680,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data",,146755,"", 75265,"", 71485,"",   68.7,"",   72.0,"",   65.6,"",
"Income of individuals in 2020","    Average employment income in 2020 among recipients ($)",, 50600,"", 58600,"", 42160,"", 50600,"", 58600,"", 42160,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data",,172395,"", 80060,"", 92330,"",   80.8,"",   76.6,"",   84.8,"",
"Income of individuals in 2020","    Average government transfers in 2020 among recipients ($)",, 10030,"",  9390,"", 10590,"", 10030,"",  9390,"", 10590,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 17750,"",  7830,"",  9920,"",    8.3,"",    7.5,"",    9.1,"",
"Income of individuals in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6570,"",  5870,"",  7120,"",  6570,"",  5870,"",  7120,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 60705,"", 29975,"", 30725,"",   28.4,"",   28.7,"",   28.2,"",
"Income of individuals in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9660,"",  9550,"",  9770,"",  9660,"",  9550,"",  9770,"",
"Income of individuals in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",12,213475,"",104555,"",108925,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",13, 68465,"", 38585,"", 29880,"",   32.1,"",   36.9,"",   27.4,"",
"Income of individuals in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14, 65000,"", 71500,"", 59200,"", 65000,"", 71500,"", 59200,"",
"Income of individuals in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",15, 77400,"", 85100,"", 67400,"", 77400,"", 85100,"", 67400,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",16, 59440,"", 27680,"", 31755,"",   27.8,"",   26.5,"",   29.2,"",
"Income of individuals in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 18000,"", 19600,"", 16800,"", 18000,"", 19600,"", 16800,"",
"Income of individuals in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 29120,"", 33120,"", 25600,"", 29120,"", 33120,"", 25600,"",
"Income of individuals in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",17,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Market income (%)",18,   83.8,"",   87.4,"",   79.0,"",   83.8,"",   87.4,"",   79.0,"",
"Income of individuals in 2020","    Employment income (%)",19,   69.8,"",   73.6,"",   65.0,"",   69.8,"",   73.6,"",   65.0,"",
"Income of individuals in 2020","  Government transfers (%)",20,   16.3,"",   12.6,"",   21.1,"",   16.3,"",   12.6,"",   21.1,"",
"Income of individuals in 2020","    Employment insurance benefits (%)",,    1.1,"",    0.8,"",    1.5,"",    1.1,"",    0.8,"",    1.5,"",
"Income of individuals in 2020","    COVID-19 - Government income support and benefits (%)",,    6.7,"",    5.7,"",    8.1,"",    6.7,"",    5.7,"",    8.1,"",
"Income of individuals in 2020","      COVID-19 - Emergency and recovery benefits (%)",,    5.5,"",    4.8,"",    6.5,"",    5.5,"",    4.8,"",    6.5,"",
"Income of individuals in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data",21,213475,"",104380,"",109100,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without total income",,  6805,"",  3220,"",  3585,"",    3.2,"",    3.1,"",    3.3,"",
"Income of individuals in 2020","  With total income",,206670,"",101165,"",105510,"",   96.8,"",   96.9,"",   96.7,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",, 24885,"", 11120,"", 13770,"",   12.0,"",   11.0,"",   13.1,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 24795,"", 11035,"", 13765,"",   12.0,"",   10.9,"",   13.0,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 32485,"", 14075,"", 18410,"",   15.7,"",   13.9,"",   17.4,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 24960,"", 11040,"", 13920,"",   12.1,"",   10.9,"",   13.2,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 21115,"",  9795,"", 11320,"",   10.2,"",    9.7,"",   10.7,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 17535,"",  8230,"",  9310,"",    8.5,"",    8.1,"",    8.8,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 13865,"",  7125,"",  6735,"",    6.7,"",    7.0,"",    6.4,"",
"Income of individuals in 2020","    $70,000 to $79,999",, 10615,"",  5835,"",  4780,"",    5.1,"",    5.8,"",    4.5,"",
"Income of individuals in 2020","    $80,000 to $89,999",,  8475,"",  4930,"",  3545,"",    4.1,"",    4.9,"",    3.4,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  6655,"",  3845,"",  2810,"",    3.2,"",    3.8,"",    2.7,"",
"Income of individuals in 2020","    $100,000 and over",, 21285,"", 14135,"",  7145,"",   10.3,"",   14.0,"",    6.8,"",
"Income of individuals in 2020","      $100,000 to $149,999",, 14360,"",  9125,"",  5240,"",    6.9,"",    9.0,"",    5.0,"",
"Income of individuals in 2020","      $150,000 and over",,  6920,"",  5010,"",  1905,"",    3.3,"",    5.0,"",    1.8,"",
"Income of individuals in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data",22,213475,"",104380,"",109100,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without after-tax income",,  6750,"",  3180,"",  3565,"",    3.2,"",    3.0,"",    3.3,"",
"Income of individuals in 2020","  With after-tax income",,206730,"",101200,"",105530,"",   96.8,"",   97.0,"",   96.7,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",, 25555,"", 11400,"", 14155,"",   12.4,"",   11.3,"",   13.4,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 25580,"", 11385,"", 14190,"",   12.4,"",   11.3,"",   13.4,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 36310,"", 15855,"", 20450,"",   17.6,"",   15.7,"",   19.4,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 28600,"", 12960,"", 15640,"",   13.8,"",   12.8,"",   14.8,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 24265,"", 11290,"", 12975,"",   11.7,"",   11.2,"",   12.3,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 18880,"",  9485,"",  9400,"",    9.1,"",    9.4,"",    8.9,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 13640,"",  7545,"",  6090,"",    6.6,"",    7.5,"",    5.8,"",
"Income of individuals in 2020","    $70,000 to $79,999",, 10125,"",  5830,"",  4295,"",    4.9,"",    5.8,"",    4.1,"",
"Income of individuals in 2020","    $80,000 to $89,999",,  7200,"",  4285,"",  2915,"",    3.5,"",    4.2,"",    2.8,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  4820,"",  2990,"",  1825,"",    2.3,"",    3.0,"",    1.7,"",
"Income of individuals in 2020","    $100,000 and over",, 11765,"",  8170,"",  3590,"",    5.7,"",    8.1,"",    3.4,"",
"Income of individuals in 2020","      $100,000 to $124,999",,  6190,"",  4140,"",  2050,"",    3.0,"",    4.1,"",    1.9,"",
"Income of individuals in 2020","      $125,000 and over",,  5570,"",  4030,"",  1535,"",    2.7,"",    4.0,"",    1.5,"",
"Income of individuals in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data",19,213475,"",104380,"",109100,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without employment income",, 66725,"", 29260,"", 37460,"",   31.3,"",   28.0,"",   34.3,"",
"Income of individuals in 2020","  With employment income",,146755,"", 75115,"", 71635,"",   68.7,"",   72.0,"",   65.7,"",
"Income of individuals in 2020","    Under $5,000 (including loss)",, 18920,"",  8680,"", 10235,"",   12.9,"",   11.6,"",   14.3,"",
"Income of individuals in 2020","    $5,000 to $9,999",, 12840,"",  5640,"",  7205,"",    8.7,"",    7.5,"",   10.1,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 17105,"",  7795,"",  9310,"",   11.7,"",   10.4,"",   13.0,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 12890,"",  6025,"",  6865,"",    8.8,"",    8.0,"",    9.6,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 12630,"",  5965,"",  6670,"",    8.6,"",    7.9,"",    9.3,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 12765,"",  6135,"",  6625,"",    8.7,"",    8.2,"",    9.2,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 12480,"",  6080,"",  6405,"",    8.5,"",    8.1,"",    8.9,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 10115,"",  5440,"",  4680,"",    6.9,"",    7.2,"",    6.5,"",
"Income of individuals in 2020","    $70,000 to $79,999",,  8015,"",  4535,"",  3480,"",    5.5,"",    6.0,"",    4.9,"",
"Income of individuals in 2020","    $80,000 to $89,999",,  6680,"",  3990,"",  2695,"",    4.6,"",    5.3,"",    3.8,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  5470,"",  3230,"",  2240,"",    3.7,"",    4.3,"",    3.1,"",
"Income of individuals in 2020","    $100,000 and over",, 16845,"", 11615,"",  5225,"",   11.5,"",   15.5,"",    7.3,"",
"Income of individuals in 2020","      $100,000 to $124,999",,  7970,"",  5125,"",  2850,"",    5.4,"",    6.8,"",    4.0,"",
"Income of individuals in 2020","      $125,000 and over",,  8870,"",  6490,"",  2380,"",    6.0,"",    8.6,"",    3.3,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data",23,213475,"",104380,"",109095,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data",,199160,"", 97180,"",101975,"",   93.3,"",   93.1,"",   93.5,"",
"Income of individuals in 2019","    Median total income in 2019 among recipients ($)",, 36000,"", 41600,"", 31200,"", 36000,"", 41600,"", 31200,"",
"Income of individuals in 2019","  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data",,199515,"", 97260,"",102265,"",   93.5,"",   93.2,"",   93.7,"",
"Income of individuals in 2019","    Median after-tax income in 2019 among recipients ($)",, 32800,"", 37200,"", 28800,"", 32800,"", 37200,"", 28800,"",
"Income of individuals in 2019","  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data",,180880,"", 89610,"", 91270,"",   84.7,"",   85.8,"",   83.7,"",
"Income of individuals in 2019","    Median market income in 2019 among recipients ($)",, 35600,"", 42000,"", 30000,"", 35600,"", 42000,"", 30000,"",
"Income of individuals in 2019","  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data",,148920,"", 75775,"", 73145,"",   69.8,"",   72.6,"",   67.0,"",
"Income of individuals in 2019","    Median employment income in 2019 among recipients ($)",, 38400,"", 44400,"", 33200,"", 38400,"", 44400,"", 33200,"",
"Income of individuals in 2019","  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data",,136470,"", 59640,"", 76825,"",   63.9,"",   57.1,"",   70.4,"",
"Income of individuals in 2019","    Median government transfers in 2019 among recipients ($)",,  2000,"",  1170,"",  3440,"",  2000,"",  1170,"",  3440,"",
"Income of individuals in 2019","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data",,  9810,"",  4215,"",  5595,"",    4.6,"",    4.0,"",    5.1,"",
