"Census Profile, 2021 Census of Population"
,,,"White Rock, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 18295,"",  8225,"", 10070,"",   97.6,"",   96.8,"",   98.2,"",
"Income of individuals in 2020","    Average after-tax income in 2020 among recipients ($)",, 51850,"", 62350,"", 43240,"", 51850,"", 62350,"", 43240,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 16800,"",  7600,"",  9195,"",   89.6,"",   89.4,"",   89.7,"",
"Income of individuals in 2020","    Average market income in 2020 among recipients ($)",, 58100,"", 75500,"", 43680,"", 58100,"", 75500,"", 43680,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 11095,"",  5375,"",  5720,"",   59.2,"",   63.2,"",   55.8,"",
"Income of individuals in 2020","    Average employment income in 2020 among recipients ($)",, 56000,"", 69500,"", 43360,"", 56000,"", 69500,"", 43360,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data",, 15250,"",  6405,"",  8840,"",   81.3,"",   75.4,"",   86.2,"",
"Income of individuals in 2020","    Average government transfers in 2020 among recipients ($)",, 12720,"", 12220,"", 13080,"", 12720,"", 12220,"", 13080,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,  1095,"",   445,"",   655,"",    5.8,"",    5.2,"",    6.4,"",
"Income of individuals in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6880,"",  5700,"",  7680,"",  6880,"",  5700,"",  7680,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,  4165,"",  1800,"",  2365,"",   22.2,"",   21.2,"",   23.1,"",
"Income of individuals in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9570,"",  9390,"",  9700,"",  9570,"",  9390,"",  9700,"",
"Income of individuals in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",12, 18745,"",  8500,"", 10245,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",13,  4860,"",  2695,"",  2170,"",   25.9,"",   31.7,"",   21.2,"",
"Income of individuals in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14, 68500,"", 77000,"", 62000,"", 68500,"", 77000,"", 62000,"",
"Income of individuals in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",15, 88900,"",102600,"", 71900,"", 88900,"",102600,"", 71900,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",16,  4505,"",  1900,"",  2610,"",   24.0,"",   22.4,"",   25.5,"",
"Income of individuals in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 18800,"", 21400,"", 16800,"", 18800,"", 21400,"", 16800,"",
"Income of individuals in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 35120,"", 45120,"", 27840,"", 35120,"", 45120,"", 27840,"",
