,,,"Abbotsford, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Marital status","    Never married",,   28865,,   15695,,   13170,, 1076085,,  582975,,  493110,
"Marital status","    Separated",,    3105,,    1335,,    1770,,  105700,,   45225,,   60475,
"Marital status","    Divorced",,    6745,,    2645,,    4095,,  263870,,  103475,,  160395,
"Marital status","    Widowed",,    6640,,    1410,,    5230,,  213685,,   44990,,  168700,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   39295,,,...,,..., 1311340,,,...,,...
"Family characteristics","  2 persons",,   18775,,,...,,...,  703685,,,...,,...
"Family characteristics","  3 persons",,    7820,,,...,,...,  275965,,,...,,...
"Family characteristics","  4 persons",,    8355,,,...,,...,  243960,,,...,,...
"Family characteristics","  5 or more persons",,    4340,,,...,,...,   87730,,,...,,...
"Family characteristics","Average size of census families",,    3.0,,,...,,...,    2.8,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   39295,,,...,,..., 1311345,,,...,,...
"Family characteristics","  Total couple families",,   33670,,,...,,..., 1113405,,,...,,...
"Family characteristics","    Married couples",,   30235,,,...,,...,  927440,,,...,,...
"Family characteristics","    Common-law couples",,    3435,,,...,,...,  185960,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    5620,,,...,,...,  197940,,,...,,...
"Family characteristics","    Female parent",,    4440,,,...,,...,  155670,,,...,,...
"Family characteristics","    Male parent",,    1180,,,...,,...,   42265,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   33670,,,...,,..., 1113400,,,...,,...
"Family characteristics","  Couples without children",,   15540,,,...,,...,  577790,,,...,,...
"Family characteristics","  Couples with children",,   18125,,,...,,...,  535610,,,...,,...
"Family characteristics","    1 child",,    6120,,,...,,...,  221065,,,...,,...
"Family characteristics","    2 children",,    7855,,,...,,...,  230705,,,...,,...
"Family characteristics","    3 or more children",,    4150,,,...,,...,   83840,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    5625,,,...,,...,  197940,,,...,,...
"Family characteristics","  1 child",,    3240,,,...,,...,  125890,,,...,,...
"Family characteristics","  2 children",,    1700,,,...,,...,   54900,,,...,,...
"Family characteristics","  3 or more children",,     685,,,...,,...,   17145,,,...,,...
