,,,"North Vancouver, District municipality [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Marital status","    Never married",,   18040,,    9540,,    8505,, 1076085,,  582975,,  493110,
"Marital status","    Separated",,    1475,,     575,,     900,,  105700,,   45225,,   60475,
"Marital status","    Divorced",,    3840,,    1215,,    2630,,  263870,,  103475,,  160395,
"Marital status","    Widowed",,    3360,,     670,,    2690,,  213685,,   44990,,  168700,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   24985,,,...,,..., 1311340,,,...,,...
"Family characteristics","  2 persons",,   10715,,,...,,...,  703685,,,...,,...
"Family characteristics","  3 persons",,    5785,,,...,,...,  275965,,,...,,...
"Family characteristics","  4 persons",,    6715,,,...,,...,  243960,,,...,,...
"Family characteristics","  5 or more persons",,    1775,,,...,,...,   87730,,,...,,...
"Family characteristics","Average size of census families",,    3.0,,,...,,...,    2.8,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   24985,,,...,,..., 1311345,,,...,,...
"Family characteristics","  Total couple families",,   21755,,,...,,..., 1113405,,,...,,...
"Family characteristics","    Married couples",,   19420,,,...,,...,  927440,,,...,,...
"Family characteristics","    Common-law couples",,    2335,,,...,,...,  185960,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    3230,,,...,,...,  197940,,,...,,...
"Family characteristics","    Female parent",,    2555,,,...,,...,  155670,,,...,,...
"Family characteristics","    Male parent",,     675,,,...,,...,   42265,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   21760,,,...,,..., 1113400,,,...,,...
"Family characteristics","  Couples without children",,    8725,,,...,,...,  577790,,,...,,...
"Family characteristics","  Couples with children",,   13035,,,...,,...,  535610,,,...,,...
"Family characteristics","    1 child",,    4785,,,...,,...,  221065,,,...,,...
"Family characteristics","    2 children",,    6515,,,...,,...,  230705,,,...,,...
"Family characteristics","    3 or more children",,    1740,,,...,,...,   83840,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    3230,,,...,,...,  197940,,,...,,...
"Family characteristics","  1 child",,    1990,,,...,,...,  125890,,,...,,...
"Family characteristics","  2 children",,     995,,,...,,...,   54900,,,...,,...
"Family characteristics","  3 or more children",,     240,,,...,,...,   17145,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   10075,,    4140,,    5940,,  882895,,  418495,,  464405,
"Household type","Total - Private households by household type - 100% data",12,   31115,,,...,,..., 1881970,,,...,,...
"Household type","  One-census-family households",,   23430,,,...,,..., 1195735,,,...,,...
"Household type","    Without children in a census family",13,    7970,,,...,,...,  527700,,,...,,...
"Household type","    With children in a census family",14,   15460,,,...,,...,  668035,,,...,,...
"Household type","  Multiple-census-family households",,     770,,,...,,...,   55620,,,...,,...
"Household type","  Non-census-family households",,    6920,,,...,,...,  630620,,,...,,...
"Household type","    One-person households",,    6140,,,...,,...,  541915,,,...,,...
"Household type","    Two-or-more person non-census-family households",,     785,,,...,,...,   88705,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,   85495,,   41530,,   43970,, 4598415,, 2255395,, 2343015,
"Knowledge of official languages","  English only",,   74855,,   37055,,   37795,, 4127770,, 2050130,, 2077645,
"Knowledge of official languages","  French only",,      35,,      15,,      25,,    1810,,     820,,     985,
"Knowledge of official languages","  English and French",,    9460,,    3990,,    5470,,  314925,,  140650,,  174275,
"Knowledge of official languages","  Neither English nor French",,    1150,,     465,,     680,,  153910,,   63795,,   90115,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,   85500,,   41530,,   43970,, 4598415,, 2255395,, 2343020,
"First official language spoken","  English",,   82635,,   40290,,   42350,, 4373330,, 2156680,, 2216655,
"First official language spoken","  French",,    1120,,     505,,     620,,   55325,,   27680,,   27640,
"First official language spoken","  English and French",,     625,,     285,,     340,,   18000,,    8315,,    9685,
"First official language spoken","  Neither English nor French",,    1120,,     450,,     670,,  151760,,   62720,,   89040,
"First official language spoken","Official language minority (number)",17,    1430,,     645,,     785,,   64325,,   31840,,   32480,
"First official language spoken","Official language minority (percentage)",17,    1.7,,    1.6,,    1.8,,    1.4,,    1.4,,    1.4,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,   85495,,   41530,,   43970,, 4598415,, 2255400,, 2343015,
"Mother tongue","  Single responses",,   83810,,   40740,,   43070,, 4494995,, 2205775,, 2289220,
"Mother tongue","    Official languages",,   62945,,   31250,,   31695,, 3227535,, 1614375,, 1613160,
"Mother tongue","      English",,   61870,,   30750,,   31120,, 3170110,, 1585760,, 1584355,
"Mother tongue","      French",,    1075,,     500,,     570,,   57425,,   28615,,   28810,
"Mother tongue","    Non-official languages",,   20865,,    9490,,   11375,, 1267460,,  591400,,  676060,
"Mother tongue","      Aboriginal languages",,       5,,       0,,       0,,    8435,,    3940,,    4490,
"Mother tongue","        Algonquian languages",,       0,,       0,,       0,,    1050,,     445,,     605,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      40,,       5,,      35,
"Mother tongue","          Cree-Montagnais languages",,       0,,       0,,       0,,     840,,     375,,     465,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,     150,,      60,,      85,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,      25,,      15,,      10,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      60,,      25,,      35,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,     585,,     270,,     320,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      10,,       5,,      10,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,     155,,      55,,     105,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,     135,,      50,,      90,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,      10,,       0,,      10,
