,,,"Coquitlam, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Marital status","    Never married",,   33105,,   17925,,   15175,, 1076085,,  582975,,  493110,
"Marital status","    Separated",,    2790,,    1105,,    1680,,  105700,,   45225,,   60475,
"Marital status","    Divorced",,    6240,,    2230,,    4005,,  263870,,  103475,,  160395,
"Marital status","    Widowed",,    5000,,     935,,    4070,,  213685,,   44990,,  168700,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   40080,,,...,,..., 1311340,,,...,,...
"Family characteristics","  2 persons",,   17455,,,...,,...,  703685,,,...,,...
"Family characteristics","  3 persons",,   10345,,,...,,...,  275965,,,...,,...
"Family characteristics","  4 persons",,    9670,,,...,,...,  243960,,,...,,...
"Family characteristics","  5 or more persons",,    2615,,,...,,...,   87730,,,...,,...
"Family characteristics","Average size of census families",,    3.0,,,...,,...,    2.8,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   40085,,,...,,..., 1311345,,,...,,...
"Family characteristics","  Total couple families",,   33910,,,...,,..., 1113405,,,...,,...
"Family characteristics","    Married couples",,   30315,,,...,,...,  927440,,,...,,...
"Family characteristics","    Common-law couples",,    3600,,,...,,...,  185960,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    6170,,,...,,...,  197940,,,...,,...
"Family characteristics","    Female parent",,    4985,,,...,,...,  155670,,,...,,...
"Family characteristics","    Male parent",,    1185,,,...,,...,   42265,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   33910,,,...,,..., 1113400,,,...,,...
"Family characteristics","  Couples without children",,   13565,,,...,,...,  577790,,,...,,...
"Family characteristics","  Couples with children",,   20345,,,...,,...,  535610,,,...,,...
"Family characteristics","    1 child",,    8540,,,...,,...,  221065,,,...,,...
"Family characteristics","    2 children",,    9280,,,...,,...,  230705,,,...,,...
"Family characteristics","    3 or more children",,    2520,,,...,,...,   83840,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    6175,,,...,,...,  197940,,,...,,...
"Family characteristics","  1 child",,    3890,,,...,,...,  125890,,,...,,...
"Family characteristics","  2 children",,    1800,,,...,,...,   54900,,,...,,...
"Family characteristics","  3 or more children",,     480,,,...,,...,   17145,,,...,,...
