,,,"Richmond, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Marital status","    Never married",,   48055,,   24760,,   23295,, 1076085,,  582975,,  493110,
"Marital status","    Separated",,    3480,,    1275,,    2205,,  105700,,   45225,,   60475,
"Marital status","    Divorced",,    9815,,    3100,,    6715,,  263870,,  103475,,  160395,
"Marital status","    Widowed",,    7950,,    1420,,    6530,,  213685,,   44990,,  168700,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   57975,,,...,,..., 1311340,,,...,,...
"Family characteristics","  2 persons",,   26410,,,...,,...,  703685,,,...,,...
"Family characteristics","  3 persons",,   15955,,,...,,...,  275965,,,...,,...
"Family characteristics","  4 persons",,   12095,,,...,,...,  243960,,,...,,...
"Family characteristics","  5 or more persons",,    3515,,,...,,...,   87730,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.8,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   57975,,,...,,..., 1311345,,,...,,...
"Family characteristics","  Total couple families",,   48260,,,...,,..., 1113405,,,...,,...
"Family characteristics","    Married couples",,   44640,,,...,,...,  927440,,,...,,...
"Family characteristics","    Common-law couples",,    3615,,,...,,...,  185960,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    9710,,,...,,...,  197940,,,...,,...
"Family characteristics","    Female parent",,    8075,,,...,,...,  155670,,,...,,...
"Family characteristics","    Male parent",,    1635,,,...,,...,   42265,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   48265,,,...,,..., 1113400,,,...,,...
"Family characteristics","  Couples without children",,   20030,,,...,,...,  577790,,,...,,...
"Family characteristics","  Couples with children",,   28230,,,...,,...,  535610,,,...,,...
"Family characteristics","    1 child",,   13265,,,...,,...,  221065,,,...,,...
"Family characteristics","    2 children",,   11565,,,...,,...,  230705,,,...,,...
"Family characteristics","    3 or more children",,    3400,,,...,,...,   83840,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    9710,,,...,,...,  197940,,,...,,...
"Family characteristics","  1 child",,    6380,,,...,,...,  125890,,,...,,...
"Family characteristics","  2 children",,    2690,,,...,,...,   54900,,,...,,...
"Family characteristics","  3 or more children",,     645,,,...,,...,   17145,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   29140,,   12075,,   17060,,  882895,,  418495,,  464405,
"Household type","Total - Private households by household type - 100% data",12,   73455,,,...,,..., 1881970,,,...,,...
"Household type","  One-census-family households",,   50510,,,...,,..., 1195735,,,...,,...
"Household type","    Without children in a census family",13,   16800,,,...,,...,  527700,,,...,,...
"Household type","    With children in a census family",14,   33710,,,...,,...,  668035,,,...,,...
"Household type","  Multiple-census-family households",,    3595,,,...,,...,   55620,,,...,,...
"Household type","  Non-census-family households",,   19355,,,...,,...,  630620,,,...,,...
"Household type","    One-person households",,   16785,,,...,,...,  541915,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    2570,,,...,,...,   88705,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  197255,,   94270,,  102985,, 4598415,, 2255395,, 2343015,
"Knowledge of official languages","  English only",,  165465,,   80635,,   84830,, 4127770,, 2050130,, 2077645,
"Knowledge of official languages","  French only",,      60,,      30,,      35,,    1810,,     820,,     985,
"Knowledge of official languages","  English and French",,    9615,,    4345,,    5270,,  314925,,  140650,,  174275,
"Knowledge of official languages","  Neither English nor French",,   22110,,    9260,,   12850,,  153910,,   63795,,   90115,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  197255,,   94270,,  102985,, 4598415,, 2255395,, 2343020,
"First official language spoken","  English",,  173090,,   84005,,   89080,, 4373330,, 2156680,, 2216655,
"First official language spoken","  French",,    1070,,     565,,     500,,   55325,,   27680,,   27640,
"First official language spoken","  English and French",,    1260,,     575,,     685,,   18000,,    8315,,    9685,
"First official language spoken","  Neither English nor French",,   21835,,    9125,,   12715,,  151760,,   62720,,   89040,
"First official language spoken","Official language minority (number)",17,    1700,,     855,,     845,,   64325,,   31840,,   32480,
